county,licnum,sitename,streetaddy,cityaddy,zip
Hernando,3700922,Golden Wok,4148 Mariner Blvd,Spring Hill,34609
Hernando,3700963,Hernando Oaks Golf Club,5230 Delacroix Dr,Brooksville,34604
Hernando,3701045,China Taste,19328 Cortez Blvd,Brooksville,34601
Hernando,3701089,Beef O Brady'S,"14387 Springhill Dr, Suite 400",Spring Hill,34609
Hernando,3701167,Twistee Treat,13190 Cortez Blvd,Brooksville,34613
Hernando,3701199,Pk's Shipwreck,7224 Shoal Line Blvd,Weeki Wachee,34607
Hernando,3701230,Huddle House,1170 South Broad Street,Brooksville,34601
Hernando,3750231,La Cucina Internazionale,3065 Anderson Snow Road,Spring Hill,34609
Hillsborough,3900188,Sunset Grill At Little Harbor,611 Destiny Dr,Ruskin,33570
Hillsborough,3900224,Aguila Sandwich Shop,3200 W. Hillsborough Ave.,Tampa,33614
Hillsborough,3900418,Waterworks Grill,111 W Fortune St,Tampa,336023206
Hillsborough,3904126,Northdale Golf $ Tennis Club,4417 Northdale Blvd,Tampa,33624
Hillsborough,3904339,3 Coins Diner Llc,7410 Nebraska Ave,Tampa,33604
Hillsborough,3905934,Amore Mio Italian Restaurant Llc,6803 N Armenia Ave,Tampa,33604
Hillsborough,3906563,Sheraton Tampa East,10221 Princess Palm Ave,Tampa,33610
Hillsborough,3909861,Beef 'O' Brady's Palma Ceia,2819 S Macdill Ave,Tampa,33629
Hillsborough,3910771,Vallartas Mexican Restaurant,13731 N Dale Mabry,Tampa,336182417
Hillsborough,3910796,Rivers Edge At Sheraton,200 N Ashley Dr,Tampa,33602
Hillsborough,3910985,Joe's New York Diner Llc,11701 N Florida Ave,Tampa,33612
Hillsborough,3911554,Salems Gyro & Subs,1611 N Nebraska Ave,Tampa,33602
Hillsborough,3911714,Palm River Cafe,7754 Palm River Road,Tampa,33619
Hillsborough,3912388,Dippin Dots Ice Cream Carts,3000 E Busch Blvd,Tampa,33612
Hillsborough,3912760,Bay Leaves Indian Cuisine,4023 W Waters Ave,Tampa,33614
Hillsborough,3915713,Tsunami Sushi And Hibachi Grill,2020 Badlands Dr,Brandon,33511
Hillsborough,3915870,Mama Rosa's Pizza,1616 E 7 Ave,Tampa,33605
Hillsborough,3916488,Bungalow Restaurant And Bar,2202 W Kennedy Blvd,Tampa,33606
Hillsborough,3916733,Ny Guys Grill & Smoothie,"6431 E County Line Road, Suite 104",Tampa,33647
Hillsborough,3917299,La Cabana Restaurant,5302 N Armenia Ave,Tampa,33603
Hillsborough,3917574,Saki Endless Sushi & Hibachi Restaurant,11921 N Dale Mabry,Tampa,33618
Hillsborough,3917618,Osaka Sushi & Grill,14428 N Dale Mabry Hwy,Tampa,33618
Hillsborough,3917685,The Kahwa,"4941 E Busch Blvd, Suite 320",Tampa,33617
