county,licnum,sitename,streetaddy,cityaddy,zip,closures_fy18,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Pinellas,6217056,The Iberian Rooster,"475 Central Ave, Suite 100",St. Petersburg,33701,2,27.771468,-82.639905,1,rooftop,475,Central Ave,Saint Petersburg,FL,Pinellas County,33701,US,Pinellas
Lake,4508645,Magical Meat Boutique,112 W 3 Ave,Mount Dora,32757,2,28.798712,-81.645164,1,rooftop,112,W 3rd Ave,Mount Dora,FL,Lake County,32757,US,Statewide2
Hillsborough,3911952,Kfc/Taco Bell,5367 Ehrlich Road,Tampa,33625,2,28.083311,-82.54249,1,rooftop,5367,Ehrlich Rd,Tampa,FL,Hillsborough County,33625,US,Hillsborough County
Broward,1621484,Cheddars Casual Cafe,7951 W Commercial Blvd,Tamarac,33321,2,26.194306,-80.257364,0.8,rooftop,7951,W Commercial Blvd,Fort Lauderdale,FL,Broward County,33319,US,Loveland
Orange,5804612,Dan's Restaurant Family Llc,7300 E Colonial Dr,Orlando,32807,2,28.567638,-81.289742,1,rooftop,7300,E Colonial Dr,Orlando,FL,Orange County,32807,US,Loveland
Hillsborough,3915648,Grand China,6168 Gunn Highway,Tampa,33625-4014,2,28.063553,-82.55119,1,rooftop,6168,Gunn Hwy,Tampa,FL,Hillsborough County,33625,US,Hillsborough County
Duval,2614841,The Courtyard Cafe,440 W Adams St,Jacksonville,32202,2,30.3288,-81.663002,1,range_interpolation,440,W Adams St,Jacksonville,FL,Duval County,32202,US,TIGER/Lineå¨ dataset from the US Census Bureau
Marion,5201357,Cal's Place,11007 SE 66 Terr,Belleview,34420,2,29.062055,-82.041415,1,range_interpolation,11007,SE 66th Ter,Belleview,FL,Marion County,34420,US,TIGER/Lineå¨ dataset from the US Census Bureau
Lake,4508660,Saffron Indian Restaurant,16744 Cagan Crossings Blvd #104,Clermont,34714,2,28.354698,-81.677524,1,rooftop,16744,Cagan Crossings Blvd,Clermont,FL,Lake County,34714,US,Lake
Palm Beach,6019033,Brooklyns Original Pizza,3025 S Federal Hwy,Delray Beach,33483,2,26.493452,-80.061853,1,rooftop,3025,N Federal Hwy,Delray Beach,FL,Palm Beach County,33483,US,Palm Beach County
Brevard,1505898,America's Best Value Inn And Suites,4431 W New Haven Ave,West Melbourne,32904,2,28.077121,-80.699898,1,rooftop,4431,W New Haven Ave,Melbourne,FL,Brevard County,32904,US,Brevard County
Manatee,5105492,Sushi & Pho,3118 53rd Avenue East,Bradenton,34203,2,27.447136,-82.524528,1,range_interpolation,3118,State Hwy 70,Bradenton,FL,Manatee County,34203,US,TIGER/Lineå¨ dataset from the US Census Bureau
Escambia,2706231,Shux Oyster Bar,509 S Palafox Place,Pensacola,32502,2,30.407264,-87.214429,0.6,rooftop,509,S Palafox St,Pensacola,FL,Escambia County,32502,US,MapWise (and individual Florida counties)
Duval,2612994,Ali's Fish Market,1809 W 45 St,Jacksonville,32209,2,30.371707,-81.687684,1,rooftop,1809,W 45th St,Jacksonville,FL,Duval County,32209,US,Statewide2
Hernando,3701167,Twistee Treat,13190 Cortez Blvd,Brooksville,34613,2,28.531968,-82.507553,1,rooftop,13190,Cortez Blvd,Brooksville,FL,Hernando County,34613,US,MapWise (and individual Florida counties)
Citrus,1900187,West 82,9301 W Fort Island Trl,Crystal River,34429,2,28.879951,-82.590125,1,rooftop,9301,W Fort Island Trl,Crystal River,FL,Citrus County,34429,US,Citrus County
Marion,5202377,Swampys Bar & Grille Dunnellon,19773 E Pennsylvania Ave,Dunnellon,34432,2,29.049851,-82.448226,1,rooftop,19773,E Pennsylvania Ave,Dunnellon,FL,Marion County,34432,US,MapWise (and individual Florida counties)
Marion,5201954,Little Caesars,10135 US Hwy 441,Belleview,344202850,2,29.074671,-82.071007,1,rooftop,10135,S Us Hwy 441,Belleview,FL,Marion County,34420,US,Marion
Duval,2611323,Cross Creek BBQ & Steak,850 S Lane Ave,Jacksonville,322054705,2,30.310538,-81.752573,1,rooftop,850,S Lane Ave,Jacksonville,FL,Duval County,32205,US,MapWise (and individual Florida counties)
Pinellas,6215755,Sushi Spice,"7570 Starkey Road, Suite E",Seminole,33777,2,27.840445,-82.7633,1,rooftop,7570,Starkey Rd,Largo,FL,Pinellas County,33777,US,City of Pinellas Park
St. Lucie,6602384,Harbor Cove,1930 Harbortown Dr,Fort Pierce,34946,2,27.467818,-80.328936,1,rooftop,1930,Harbortown Dr,Fort Pierce,FL,St. Lucie County,34946,US,Statewide2
Brevard,1506762,Brasas Peruvian Grill Indialantic Llc,"2 5 Ave, Suite C",Indialantic,32903,2,28.091748,-80.565957,1,rooftop,2,5th Ave,Indialantic,FL,Brevard County,32903,US,Statewide2
Polk,6350593,Roberto Hernandez,3250 Lake Alfred Road,Winter Haven,33881,2,28.056347,-81.732444,1,rooftop,3250,Lake Alfred Rd,Winter Haven,FL,Polk County,33881,US,Polk
Pinellas,6216619,Urban Brew And BBQ Inc,1939 Central Ave,St. Petersburg,33713,2,27.771306,-82.659663,1,rooftop,1939,Central Ave,Saint Petersburg,FL,Pinellas County,33713,US,Pinellas
Hernando,3701230,Huddle House,1170 South Broad Street,Brooksville,34601,2,28.543678,-82.402408,1,rooftop,1170,S Broad St,Brooksville,FL,Hernando County,34601,US,Hernando
Dade,2334080,Wingstop,1452-1454 NE 163 St,North Miami Beach,33162,2,25.92881,-80.178672,0.12,place,,,Miami,FL,Miami-Dade County,33162,US,TIGER/Lineå¨ dataset from the US Census Bureau
Dade,2333920,Ceviche Inka,14782 SW 56 St,Miami,33185,2,25.713535,-80.43338,1,rooftop,14782,SW 56th St,Miami,FL,Miami-Dade County,33185,US,Miami
Dade,2328723,El Gran Inka,3155 NE 163 St,Golden Beach,33160,2,25.965092,-80.122267,0.11,place,,,Golden Beach,FL,Miami-Dade County,33160,US,TIGER/Lineå¨ dataset from the US Census Bureau
Dade,2328689,China Buffet,18690 NW 67 Ave,Hialeah,33015,2,25.944046,-80.308072,1,rooftop,18690,NW 67th Ave,Hialeah,FL,Miami-Dade County,33015,US,Miami
Dade,2316938,Bagel Cove Restaurant And Deli,19003 Biscayne Blvd,Aventura,33180,2,25.951356,-80.145304,1,rooftop,19003,Biscayne Blvd,Ojus,FL,Miami-Dade County,33180,US,Miami
Dade,2301334,Mingies Chinese Restaurant,760 NW 183rd St,Miami,33169,2,25.942007,-80.214162,1,range_interpolation,760,NW 183rd St,Miami,FL,Miami-Dade County,33169,US,TIGER/Lineå¨ dataset from the US Census Bureau
Pinellas,6216424,Shark Tales,677 75 Ave,St.Pete Beach,33706,2,27.741103,-82.754103,1,rooftop,677,75th Ave,Saint Petersburg,FL,Pinellas County,33706,US,Pinellas
Volusia,7403366,Mannys Pizza,3318 S Atlantic Ave,New Smyrna Beach,32169,2,29.011744,-80.881465,1,rooftop,3318,S Atlantic Ave,New Smyrna Beach,FL,Volusia County,32169,US,Volusia
Citrus,1900890,Suncoast Bar & Grill,10350 W Yulee Dr,Homosassa,34448,2,28.787789,-82.605517,1,rooftop,10350,W Yulee Dr,Homosassa,FL,Citrus County,34448,US,Citrus County
Dade,2326861,China Express,5301 NE 2 Ave,Miami,33137,2,25.813153,-80.191714,0.12,place,,,Miami,FL,Miami-Dade County,33137,US,TIGER/Lineå¨ dataset from the US Census Bureau
Marion,5202925,Freddy's Frozen Custard & Steakburger,"3558 SW College Road,, Suite 100",Ocala,34474,2,29.152602,-82.181825,1,rooftop,3558,SW College Rd,Ocala,FL,Marion County,34474,US,Marion
Brevard,1506204,Thai Thai House,"215 Palm Bay Road NE, Suite 169",Melbourne,32904,2,28.03561,-80.66614,1,rooftop,215,Palm Bay Rd NE,Melbourne,FL,Brevard County,32904,US,Statewide2
Broward,1623958,Sabores Brasil,4831 N Dixie Hwy,Deerfield Beach,33064,2,26.290982,-80.110455,1,rooftop,4831,N Dixie Hwy,Pompano Beach,FL,Broward County,33064,US,Statewide2
Highlands,3800549,Oscar's Family Restaurant,267 US 27 N,Sebring,33870,2,27.457947,-81.373012,0.33,place,,,Sebring,FL,Highlands County,33870,US,TIGER/Lineå¨ dataset from the US Census Bureau
Orange,5801751,Moghul Indian Cuisine,401 N Semoran Blvd,Winter Park,32792,2,28.601603,-81.306943,1,rooftop,401,N Semoran Blvd,Winter Park,FL,Orange County,32792,US,Loveland
St. Johns,6501451,Dan Murphy's Irish Pub,"4320 A1A South, Suite 9 & 10",Saint Augustine,32080,2,29.815073,-81.267993,1,rooftop,4320,A1a S,Saint Augustine,FL,St. Johns County,32080,US,MapWise (and individual Florida counties)
Brevard,1505386,Asian Gourmet,459 N Harbor City Blvd,Melbourne,32935,2,28.116628,-80.623482,1,rooftop,459,N Harbor City Blvd,Melbourne,FL,Brevard County,32935,US,Brevard County
Citrus,1900026,Oysters Restaurant,606 NE US Hwy 19,Crystal River,34429,2,28.898929,-82.587919,1,rooftop,606,NE Hwy 19,Crystal River,FL,Citrus County,34429,US,Citrus County
Bay,1305465,Ketana Thai Restaurant And Sushi Bar,10514 Front Beach Road,Panama City Beach,32407,2,30.178482,-85.807601,1,rooftop,10514,Front Beach Rd,Panama City Beach,FL,Bay County,32407,US,Bay County
Hillsborough,3918192,China 1,"4350 W Water Ave , Suite 103",Tampa,33614,2,28.024982,-82.516823,1,rooftop,4350,W Waters Ave,Tampa,FL,Hillsborough County,33614,US,Loveland
Hillsborough,3917455,Dosa Hut,10029 W Hillsborough Ave,Tampa,33615,2,28.004386,-82.59654,1,rooftop,10029,W Hillsborough Ave,Tampa,FL,Hillsborough County,33615,US,Hillsborough County
Palm Beach,6007995,Peking Place,531 S Main St,Belle Glade,33430,2,26.681625,-80.667764,1,rooftop,531,S Main St,Belle Glade,FL,Palm Beach County,33430,US,Palm Beach County
Duval,2615135,Brentwood Golf Course,1157 Mbo1 Golfair Blvd.,Jacksonville,32209,2,30.361015,-81.696254,0.33,place,,,Jacksonville,FL,Duval County,32209,US,TIGER/Lineå¨ dataset from the US Census Bureau
Seminole,6900043,Mayfair Country Club,3536 Country Club Road,Sanford,32773,2,28.780358,-81.319198,1,rooftop,3536,Country Club Rd,Sanford,FL,Seminole County,32773,US,Seminole
Pasco,6102516,Niko's Grill,14100 Hicks Road,Hudson,34669,2,28.362954,-82.6497,1,rooftop,14100,Hicks Rd,Hudson,FL,Pasco County,34669,US,Statewide2
Jackson,4200539,Dairy Queen Grill And Chill,State Road 71,Marianna,32448,2,30.693484,-85.18051,1,street_center,,State Hwy 71,Marianna,FL,Jackson County,32448,US,TIGER/Lineå¨ dataset from the US Census Bureau
Duval,2611391,Country Cabin,1401 Dunn Ave,Jacksonville,322184835,2,30.430187,-81.668935,1,rooftop,1401,Dunn Ave,Jacksonville,FL,Duval County,32218,US,Duval
Pinellas,6217634,Perrys Restaurant,3405 34 St N,St. Petersburg,33713,2,27.803102,-82.679025,1,rooftop,3405,34th St N,Saint Petersburg,FL,Pinellas County,33713,US,Pinellas
Pinellas,6216540,Britts Pizza,10709 Gulf Blvd,Treasure Island,33706,2,27.769672,-82.769133,1,rooftop,10709,Gulf Blvd,Saint Petersburg,FL,Pinellas County,33706,US,Pinellas
Dade,2316103,Los Primos Cafeteria & Grill #2,1864 SW 8 St,Miami,33135,2,25.765304,-80.225903,1,rooftop,1864,SW 8th St,Miami,FL,Miami-Dade County,33135,US,Miami
Lee,4606678,Buffalo Wild Wings,25271 Chamber Of Commerce Dr,Bonita Springs,34134,2,26.374113,-81.806473,0.5,street_center,,Chamber Of Commerce Dr,Bonita Springs,FL,Lee County,34135,US,TIGER/Lineå¨ dataset from the US Census Bureau
Pinellas,6216322,Senor Taco,6447 Park Blvd Ste# 1,Pinellas Park,33781,2,27.839306,-82.724796,1,range_interpolation,6447,Park Blvd,Pinellas Park,FL,Pinellas County,33781,US,TIGER/Lineå¨ dataset from the US Census Bureau
Broward,1620974,Tamarac Thai And Sushi,7658 N Nob Hill Road,Tamarac,33321,2,26.21878,-80.28767,1,rooftop,7658,N Nob Hill Rd,Fort Lauderdale,FL,Broward County,33321,US,Statewide2
Duval,2609086,Jax Market Place Take-0Ut #1,614 Pecan Park Road,Jacksonville,32218,2,30.516304,-81.638464,1,rooftop,614,Pecan Park Rd,Jacksonville,FL,Duval County,32218,US,Duval
